"Model","Prevalence","True_positives","False_negatives","True_negatives","False_positives","TPR","TNR","PPV","NPV","Accuracy","BA","BI","F1_score","MCC","Gmean","Fowlkes_Mallows_index","Markedness","Diagnostic_odds_ratio","Jaccardindex","Cohens_kappa","F_beta_score_0.5","F_beta_score_2","AUC","Run"
"Random Forest","0.423169750603379","266","260","583","134","0.505703422053232","0.813110181311018","0.665","0.691577698695136","0.683024939662108","0.659406801682125","0.31881360336425","0.57451403887689","0.337167348656907","0.641243012589849","0.57990755786194","0.356577698695137","4.45114810562572","0.403030303030303","0.329320832956733","0.314420803782506","0.438943894389439","0.734934056668311","5"
"KNN","0.423169750603379","267","259","543","174","0.507604562737643","0.757322175732218","0.605442176870748","0.677057356608479","0.651649235720032","0.63246336923493","0.26492673846986","0.552223371251293","0.273572074641965","0.620016283547515","0.554369201393262","0.282499533479227","3.21708161363334","0.381428571428571","0.270754380806695","0.303823395539372","0.434711820253989","0.687348531852724","5"
"LDA","0.423169750603379","241","285","603","114","0.458174904942966","0.841004184100418","0.67887323943662","0.679054054054054","0.679002413515688","0.649589544521692","0.299179089043384","0.547105561861521","0.327237469752936","0.620747140232515","0.557712006278506","0.357927293490674","4.47285318559557","0.3765625","0.312720076826819","0.297530864197531","0.403685092127303","0.724648806020014","5"
"GBM","0.423169750603379","299","227","549","168","0.568441064638783","0.765690376569038","0.640256959314775","0.707474226804124","0.682220434432824","0.667065720603911","0.334131441207821","0.602215508559919","0.340863495215919","0.659734683672592","0.603281317127657","0.347731186118899","4.30435808684708","0.430835734870317","0.33919907404292","0.332369942196532","0.482725217952858","0.741570814176093","5"
"randomguess","0.423169750603379","234","292","425","292","0.444866920152091","0.592747559274756","0.444866920152091","0.592747559274756","0.53016894609815","0.518807239713424","0.0376144794268471","0.444866920152091","0.0376144794268472","0.513511227844367","0.444866920152091","0.0376144794268471","1.1663773691124","0.286063569682152","0.0376144794268473","0.247148288973384","0.370722433460076","0.501983337840919","5"
"Logistic Regression","0.419951729686243","247","275","611","110","0.473180076628352","0.847434119278779","0.69187675070028","0.68961625282167","0.690265486725664","0.660307097953566","0.320614195907132","0.562002275312856","0.349731429197301","0.633236876293393","0.572173307585852","0.381493003521951","4.98899173553719","0.390822784810127","0.335237793604292","0.305844477464091","0.416245365689248","0.721955192075714","6"
"Random Forest","0.419951729686243","263","259","595","126","0.503831417624521","0.825242718446602","0.676092544987147","0.69672131147541","0.690265486725664","0.664537068035562","0.329074136071123","0.577387486278815","0.350261898771133","0.644812537656694","0.58364087021579","0.372813856462556","4.79515229515229","0.405864197530864","0.341066592129232","0.315650504080653","0.438479493164388","0.734856335124162","6"
"KNN","0.419951729686243","269","253","561","160","0.515325670498084","0.778085991678225","0.627039627039627","0.689189189189189","0.667739340305712","0.646705831088154","0.293411662176309","0.565720294426919","0.304606668669193","0.63322009235869","0.568444910464563","0.316228816228816","3.72798913043478","0.394428152492669","0.300807526930049","0.310910772075821","0.442579795985522","0.695763653078685","6"
"LDA","0.419951729686243","235","287","619","102","0.450191570881226","0.858529819694868","0.697329376854599","0.683222958057395","0.687047465808528","0.654360695288047","0.308721390576094","0.547147846332945","0.342760333208221","0.621693564529028","0.560296178451896","0.380552334911995","4.96908519505363","0.376602564102564","0.324597120583761","0.296867104598282","0.398710553104852","0.721200599422896","6"
"GBM","0.419951729686243","296","226","567","154","0.567049808429119","0.786407766990291","0.657777777777778","0.71500630517024","0.694288012872084","0.676728787709705","0.35345757541941","0.609053497942387","0.362992228723639","0.667781681104697","0.610731334448971","0.372784082948017","4.82220434432824","0.437869822485207","0.360316144724511","0.335600907029478","0.483660130718954","0.741004671034802","6"
"randomguess","0.419951729686243","229","293","428","293","0.438697318007663","0.593619972260749","0.438697318007663","0.593619972260749","0.528559935639582","0.516158645134206","0.0323172902684117","0.438697318007663","0.0323172902684118","0.510313129114443","0.438697318007663","0.0323172902684117","1.14167899451362","0.280981595092025","0.0323172902684118","0.243720732226479","0.365581098339719","0.499082000839617","6"
"Logistic Regression","0.413515687851971","204","310","615","114","0.396887159533074","0.843621399176955","0.641509433962264","0.664864864864865","0.658889782783588","0.620254279355014","0.240508558710029","0.490384615384615","0.27145099196118","0.578638488903615","0.50458582724741","0.306374298827129","3.55008488964346","0.32484076433121","0.254838308317027","0.265486725663717","0.353185595567867","0.688986832343224","7"
"Random Forest","0.413515687851971","221","293","608","121","0.429961089494163","0.834019204389575","0.646198830409357","0.67480577136515","0.666934835076428","0.631990146941869","0.263980293883738","0.516355140186916","0.291099448839167","0.598828694852206","0.527105637564864","0.321004601774507","3.79003187318422","0.348031496062992","0.277682641992499","0.280599288979177","0.379464285714286","0.711209588317241","7"
"KNN","0.413515687851971","225","289","590","139","0.437743190661479","0.809327846364883","0.618131868131868","0.671217292377702","0.655671761866452","0.623535518513181","0.247071037026362","0.5125284738041","0.267375760213612","0.595212360220239","0.520175947353955","0.28934916050957","3.30462273779592","0.344563552833078","0.258181554516274","0.279433681073025","0.383435582822086","0.679994448981335","7"
"LDA","0.413515687851971","193","321","623","106","0.375486381322957","0.854595336076818","0.645484949832776","0.659957627118644","0.656476267095736","0.615040858699887","0.230081717399775","0.474784747847478","0.26509762856728","0.566470573144767","0.492311698023863","0.30544257695142","3.53373890554282","0.311290322580645","0.245206467127521","0.256240042485396","0.33635413035901","0.688655906230485","7"
"GBM","0.413515687851971","254","260","575","154","0.494163424124514","0.788751714677641","0.622549019607843","0.688622754491018","0.666934835076428","0.641457569401077","0.282915138802154","0.550976138828633","0.2967072726788","0.624317425761274","0.554653905796011","0.311171774098861","3.6476023976024","0.380239520958084","0.291788577830013","0.302237029985721","0.426460711887173","0.711030781466003","7"
"randomguess","0.413515687851971","221","293","436","293","0.429961089494163","0.598079561042524","0.429961089494163","0.598079561042524","0.528559935639582","0.514020325268344","0.0280406505366875","0.429961089494163","0.0280406505366874","0.507100522253759","0.429961089494163","0.0280406505366875","1.12238931146548","0.273853779429988","0.0280406505366876","0.238867271941202","0.358300907911803","0.49563524469851","7"
"Logistic Regression","0.407884151246983","213","294","629","107","0.420118343195266","0.854619565217391","0.665625","0.681473456121343","0.67739340305712","0.637368954206329","0.274737908412658","0.515114873035067","0.308805932339456","0.599200597297257","0.528811187655243","0.347098456121343","4.25891665077246","0.346905537459283","0.291462029535979","0.27916120576671","0.373029772329247","0.725773947345854","8"
"Random Forest","0.407884151246983","246","261","601","135","0.485207100591716","0.816576086956522","0.645669291338583","0.697215777262181","0.68141592920354","0.650891593774119","0.301783187548238","0.554054054054054","0.321678331513073","0.629450963590257","0.559717182862472","0.342885068600764","4.19599829714772","0.383177570093458","0.313920133807234","0.303030303030303","0.421810699588477","0.727416709544636","8"
"KNN","0.407884151246983","245","262","586","150","0.483234714003945","0.796195652173913","0.620253164556962","0.691037735849057","0.668543845534996","0.639715183088929","0.279430366177858","0.543237250554324","0.294930721167343","0.620281692676356","0.547474072979466","0.311290900406019","3.65318066157761","0.372907153729072","0.289375235896184","0.297691373025516","0.418088737201365","0.687375385901724","8"
"LDA","0.407884151246983","208","299","638","98","0.41025641025641","0.866847826086957","0.679738562091503","0.680896478121665","0.680611423974256","0.638552118171683","0.277104236343367","0.511685116851168","0.316122598712793","0.596347111478716","0.52807868958756","0.360635040213168","4.52883762200532","0.343801652892562","0.295318267823355","0.276669326948657","0.366068285814854","0.72554347826087","8"
"GBM","0.407884151246983","270","237","596","140","0.532544378698225","0.809782608695652","0.658536585365854","0.715486194477791","0.696701528559936","0.671163493696939","0.342326987393877","0.588876772082879","0.357824106846588","0.656692604061028","0.592199254224209","0.374022779843645","4.8499095840868","0.417310664605873","0.352828580938031","0.323353293413174","0.458404074702886","0.737720821541892","8"
"randomguess","0.407884151246983","214","293","443","293","0.422090729783037","0.601902173913043","0.422090729783037","0.601902173913043","0.528559935639582","0.51199645184804","0.0239929036960809","0.422090729783037","0.023992903696081","0.504040998178673","0.422090729783037","0.0239929036960809","1.10428776106885","0.2675","0.0239929036960808","0.234494849879465","0.351742274819198","0.494441943229569","8"
"Logistic Regression","0.402252614641995","177","323","670","73","0.354","0.901749663526245","0.708","0.67472306143001","0.68141592920354","0.627874831763122","0.255749663526245","0.472","0.312859863492362","0.564995027312888","0.500631601080076","0.38272306143001","5.02947538063531","0.308900523560209","0.278522535727373","0.252857142857143","0.321818181818182","0.723725437415882","9"
"Random Forest","0.402252614641995","213","287","652","91","0.426","0.877523553162853","0.700657894736842","0.694355697550586","0.695897023330652","0.651761776581427","0.303523553162853","0.529850746268657","0.346259915495142","0.611412327032564","0.546333472485345","0.395013592287428","5.31745606310066","0.360406091370558","0.324312741956823","0.286598493003229","0.37981455064194","0.744596231493943","9"
"KNN","0.402252614641995","220","280","617","126","0.44","0.830417227456258","0.635838150289017","0.687848383500557","0.6733708769107","0.635208613728129","0.270417227456258","0.520094562647754","0.295855395476073","0.604469668453888","0.52893174051778","0.323686533789575","3.84750566893424","0.351437699680511","0.284759445447562","0.283213182286303","0.386507378777231","0.689034993270525","9"
"LDA","0.402252614641995","167","333","675","68","0.334","0.908479138627187","0.71063829787234","0.669642857142857","0.67739340305712","0.621239569313594","0.242479138627187","0.454421768707483","0.303661401735942","0.550846650440466","0.487189071602968","0.380281155015198","4.97813990461049","0.294014084507042","0.265488760029767","0.242732558139535","0.305301645338208","0.723921938088829","9"
"GBM","0.402252614641995","240","260","629","114","0.48","0.846567967698519","0.677966101694915","0.707536557930259","0.699115044247788","0.66328398384926","0.326567967698519","0.562060889929742","0.354813782280462","0.637457939393094","0.570459226249834","0.385502659625174","5.09311740890688","0.390879478827362","0.34294339963987","0.306435137895812","0.420462508759636","0.740576043068641","9"
"randomguess","0.402252614641995","210","290","453","290","0.42","0.609690444145357","0.42","0.609690444145357","0.533386967015286","0.514845222072678","0.0296904441453567","0.42","0.0296904441453567","0.50603358242418","0.42","0.0296904441453567","1.13115338882283","0.265822784810127","0.0296904441453567","0.233333333333333","0.35","0.497243606998654","9"
"Logistic Regression","0.395012067578439","196","295","656","96","0.39918533604888","0.872340425531915","0.671232876712329","0.689800210304942","0.68543845534996","0.635762880790397","0.271525761580795","0.500638569604087","0.313097083838591","0.590106351359634","0.517635317050013","0.361033087017271","4.54011299435028","0.333901192504259","0.292068023742762","0.270494065691416","0.356752821259556","0.707924827750574","10"
"Random Forest","0.395012067578439","206","285","653","99","0.419551934826884","0.868351063829787","0.675409836065574","0.696162046908316","0.691069991954948","0.643951499328336","0.287902998656671","0.517587939698492","0.327072865466838","0.603587913181477","0.532324622314636","0.371571882973889","4.76760588339536","0.349152542372881","0.308161259743912","0.280272108843537","0.373188405797101","0.73269516184946","10"
"KNN","0.395012067578439","220","271","593","159","0.44806517311609","0.788563829787234","0.580474934036939","0.686342592592593","0.654062751407884","0.618314501451662","0.236629002903324","0.505747126436782","0.25127030322638","0.594413987812117","0.509990786003837","0.266817526629532","3.02768688064239","0.338461538461538","0.246382001940127","0.277008310249307","0.388143966125618","0.686753856653811","10"
"LDA","0.395012067578439","191","300","664","88","0.389002036659878","0.882978723404255","0.684587813620072","0.688796680497925","0.687851971037812","0.635990380032067","0.271980760064133","0.496103896103896","0.318674439681589","0.586072113081312","0.516048499436575","0.373384494117997","4.80393939393939","0.329879101899827","0.294010527979951","0.267432091851022","0.349305047549378","0.707599828833904","10"
"GBM","0.395012067578439","251","240","624","128","0.511201629327902","0.829787234042553","0.662269129287599","0.722222222222222","0.703942075623492","0.670494431685228","0.340988863370455","0.577011494252874","0.362087377475526","0.651297617098394","0.581853124031651","0.384491351509821","5.0984375","0.405492730210016","0.355043201660388","0.316041299420801","0.442836979534227","0.730932042726524","10"
"randomguess","0.395012067578439","202","289","463","289","0.411405295315682","0.615691489361702","0.411405295315682","0.615691489361702","0.534995977473854","0.513548392338692","0.0270967846773844","0.411405295315682","0.0270967846773844","0.503287928530184","0.411405295315682","0.0270967846773844","1.11979023239664","0.258974358974359","0.0270967846773844","0.228558497397601","0.342837746096402","0.497443341855527","10"
"Logistic Regression","0.391794046661303","181","306","664","92","0.371663244353183","0.878306878306878","0.663003663003663","0.684536082474227","0.679806918744972","0.624985061330031","0.249970122660061","0.476315789473684","0.294744894453415","0.571344365448064","0.496401140621157","0.34753974547789","4.26911054276783","0.312607944732297","0.271169660772742","0.256592004536433","0.334194977843427","0.712677770172637","11"
"Random Forest","0.391794046661303","221","266","647","109","0.453798767967146","0.855820105820106","0.66969696969697","0.708652792990142","0.698310539018504","0.654809436893626","0.309618873787252","0.541003671970624","0.34226338895777","0.623193476877507","0.551278205409769","0.378349762687112","4.93160653928399","0.370805369127517","0.328457552178254","0.294274300932091","0.399638336347197","0.722715198331215","11"
"KNN","0.391794046661303","208","279","620","136","0.427104722792608","0.82010582010582","0.604651162790698","0.689655172413793","0.666130329847144","0.623605271449214","0.247210542898428","0.500601684717208","0.269732513621085","0.591837029051833","0.508182415349005","0.294306335204491","3.39869281045752","0.333868378812199","0.260836795022619","0.272894253476778","0.374235336451961","0.674771574155558","11"
"LDA","0.391794046661303","169","318","670","86","0.347022587268994","0.886243386243386","0.662745098039216","0.678137651821862","0.674979887369268","0.61663298675619","0.23326597351238","0.455525606469003","0.281986429637884","0.554568726889836","0.479570139418012","0.340882749861078","4.14033933011555","0.294938917975567","0.254866930984545","0.244573082489146","0.314126394052045","0.713120498028096","11"
"GBM","0.391794046661303","237","250","618","138","0.486652977412731","0.817460317460317","0.632","0.711981566820276","0.687851971037812","0.652056647436524","0.304113294873049","0.549883990719258","0.32343371447842","0.630729337678865","0.554585143801063","0.343981566820276","4.24539130434783","0.3792","0.317087123486299","0.301143583227446","0.421708185053381","0.724951924643916","11"
"randomguess","0.391794046661303","197","290","466","290","0.404517453798768","0.616402116402116","0.404517453798768","0.616402116402116","0.533386967015286","0.510459785100442","0.0209195702008844","0.404517453798768","0.0209195702008844","0.499344985599291","0.404517453798768","0.0209195702008844","1.09158145065398","0.253539253539254","0.0209195702008846","0.224731918777093","0.33709787816564","0.505747313755527","11"
"Logistic Regression","0.386162510056315","183","297","680","83","0.38125","0.891218872870249","0.68796992481203","0.696008188331627","0.694288012872084","0.636234436435124","0.272468872870249","0.490616621983914","0.323453371747919","0.582904104704867","0.512141126872844","0.383978113143657","5.04807107216746","0.325044404973357","0.297027315833182","0.264145496535797","0.343210802700675","0.721495467453036","12"
"Random Forest","0.386162510056315","208","272","668","95","0.433333333333333","0.875491480996068","0.686468646864686","0.71063829787234","0.704746580852776","0.654412407164701","0.308824814329401","0.531289910600255","0.350194914979256","0.61593801779478","0.545407872123879","0.397106944737027","5.37708978328173","0.361739130434783","0.331494206383749","0.287929125138427","0.384757676655568","0.735557284840542","12"
"KNN","0.386162510056315","220","260","622","141","0.458333333333333","0.815203145478375","0.609418282548476","0.705215419501134","0.67739340305712","0.636768239405854","0.273536478811708","0.523186682520809","0.293366315336547","0.61125671776343","0.528504222154108","0.31463370204961","3.73267866884888","0.35426731078905","0.286718860680335","0.286160249739854","0.398406374501992","0.695505679335955","12"
"LDA","0.386162510056315","168","312","685","78","0.35","0.897771952817824","0.682926829268293","0.687061183550652","0.686242960579244","0.623885976408912","0.247771952817824","0.462809917355372","0.302774920453026","0.560553461755646","0.488901207038705","0.369988012818945","4.72879684418146","0.301075268817204","0.272398980575093","0.24822695035461","0.317460317460317","0.720632645259939","12"
"GBM","0.386162510056315","245","235","626","137","0.510416666666667","0.820445609436435","0.641361256544503","0.727061556329849","0.700724054706356","0.665431138051551","0.330862276103102","0.568445475638051","0.349137810092111","0.647123723216702","0.572155114190715","0.368422812874352","4.76378319614847","0.39708265802269","0.343882760597435","0.311863543788187","0.440330697340043","0.742526758409786","12"
"randomguess","0.386162510056315","192","288","475","288","0.4","0.622542595019659","0.4","0.622542595019659","0.536604987932422","0.51127129750983","0.0225425950196594","0.4","0.0225425950196592","0.499016069889401","0.4","0.0225425950196594","1.09953703703704","0.25","0.0225425950196593","0.222222222222222","0.333333333333333","0.505551004805592","12"
"Logistic Regression","0.381335478680611","177","297","690","79","0.373417721518987","0.897269180754226","0.69140625","0.699088145896657","0.69750603378922","0.635343451136607","0.270686902273213","0.484931506849315","0.325118006853382","0.578840403795771","0.508117453468179","0.390494395896657","5.20521672420406","0.320072332730561","0.29687589325743","0.260754272245138","0.337014470677837","0.731404970014211","13"
"Random Forest","0.381335478680611","213","261","681","88","0.449367088607595","0.88556566970091","0.707641196013289","0.722929936305732","0.719227674979887","0.667466379154253","0.334932758308505","0.549677419354839","0.379753047381619","0.630828080196446","0.563906609316905","0.430571132319022","6.31543887147335","0.379003558718861","0.360144960669757","0.297985450475657","0.398727068513665","0.743975407812217","13"
